"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"7d812de6fc9114135832c4da35053229","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","U-TURN","false","2","9.0","4.243","1.2","0.424","10","7","2022","17","45","5","900"
"a8fdf5b2b8e074a8eaf75cec2753bf02","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","LEFT TURN","false","10","12.1","3.957","14.37","41.604","10","7","2022","18","0","5","900"
"dd48a5037aeeb7d829b0509521b6bc44","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","false","17","18.882","17.117","7.3","16.606","10","7","2022","18","0","5","900"
"81ae4c3aeb8731448958972ca1798fce","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","true","5","15.0","7.071","6.04","10.934","10","7","2022","18","0","5","900"
"971457475b7d5abf0c0c6e6258a25e86","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","false","344","43.628","13.654","2.844","11.144","10","7","2022","18","0","5","900"
"5ae562c3d59e186ce38dc4c020b9d5cc","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","true","13","38.538","15.092","0.523","0.569","10","7","2022","18","0","5","900"
"a9bfbc1547a5099558794330b249750b","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","U-TURN","false","4","9.75","4.031","1.5","1.395","10","7","2022","18","0","5","900"
"ed10a96bc622c40d768b34dfff60d6ed","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","false","26","16.615","5.177","33.819","53.471","10","7","2022","18","0","5","900"
"f24d8978d2c23f8d07f66c741ba1d8cf","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","true","3","19.333","2.887","3.0","0.781","10","7","2022","18","0","5","900"
"86a5bd688f062b03ffb94ac3e7a77d36","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","false","23","2.391","3.461","12.5","24.591","10","7","2022","18","0","5","900"
"50c4850b696da642efd7efa49c3f164e","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","true","1","0.0","0.0","0.1","0.0","10","7","2022","18","0","5","900"
"a4f209b63b0cbfbbfb176ccb3299a724","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","THRU","false","10","14.7","14.127","47.62","55.469","10","7","2022","18","0","5","900"
